Label,Question
egress,¿Qué procedimiento debo seguir para el tramite de titulación?
egress,¿Cuales son los requisitos para mi tramite de titulacion?
majors,Cuales son las carreras?
internship,¿Cuáles son los requisitos necesarios para comenzar mis prácticas profesionales?
financial aid,¿Cuáles son los requisitos para tramitar una beca?
egress,¿Qué documentos necesito para tramitar mi egreso?
about,que es fime
calendar,Cuándo inician las clases?
egress,¿Que requisitos se ocupan para egresar?
postgrad,Cuáles son los programas de doctorado que se ofrecen en la facultad?
enrollment,Reprobé una materia
exchange,¿Qué universidades tienen convenio de intercambio con la facultad?
egress,¿Que puedo hacer después de graduarme?
about,¿que es fime?
locations,¿Dónde está el auditario?
research,¿Se puede solicitar una revisión de tesis?
majors,¿Cuál es la malla curricular de mi carrera?
calendar,¿Cuándo acaba el semestre?
egress,¿Es necesario contar con un promedio mínimo para egresar?
schedules,¿Cuáles son los horarios de atención?
research,¿Se puede elegir sinodales para la revisión de la tesis?
procedures,¿Donde puedo hacer solicitud de tramites?
postgrad,¿Se ofrece algún programa de posgrado en línea?
enrollment,Cuántas oportunidades tengo?
schedules,¿Cuales son los horarios que manejan?
enrollment,¿Se presenta examen en segunda oportunidad?
egress,¿Cuáles son los diferentes procesos de titulación?
locations,¿En qué edificio se encuentran los laboratorios de física?
research,¿Cómo puedo solicitar apoyo para asistir a una conferencia académica?
about,¿cuántos alumnos hay en fime?
egress,¿Cuál es el horario de atención para realizar el trámite de egreso?
internship,¿Cuáles son los requisitos para realizar prácticas profesionales?
majors,¿Qué materias hay en la carrera?
activities,¿Cómo puedo unirme a un club en particular?
procedures,¿Cómo puedo sacar una constancia de estudios?
egress,¿Hay alguna fecha límite para realizar el trámite de egreso?
social service,¿En que consiste el servicio social?
egress,¿Cuál es el plazo para realizar el trámite de egreso?
internship,¿Dónde se ubica el departamento de prácticas profesionales?
financial aid,¿Qué becas ofrece la universidad para irse de intercambio?
financial aid,Hay alguna beca a la que pueda aplicar?
majors,¿Cómo puedo cambiarme de carrera?
financial aid,¿Existen becas disponibles en la universidad?
majors,planes de estudios 
majors,¿Cual es mi plan de estudios completo? 
enrollment,Qué pasa si repruebo una materia?
enrollment,¿Cómo puedo hacer mi horario?
internship,¿Cuándo se lleva a cabo la charla informativa sobre las prácticas profesionales?
costs,¿Cómo puedo obtener mi factura de pago?
egress,¿Cuales son los requisitos de titulación?
majors,cuáles son las optativas disponibles
locations,Dónde está subdirección academica
locations,Dónde está el edificio de la Facultad de Ingeniería?
research,¿Cuánto tiempo se tarda en obtener una respuesta sobre una solicitud de financiamiento para un proyecto de investigación?
about,¿quién es el director de la fime?
enrollment,Cómo se inscriben las materias en el horario
internship,¿Cuáles son los requisitos que debo cumplir para hacer mis prácticas profesionales?
enrollment,créditos necesarios cada semestre
social service,¿Qué requisitos ocupo para el servicio social?
admission,¿Datos para una ficha de nuevo ingreso?
costs,¿Cuáles cuentas son en las que puedo realizar pagos?
calendar,¿Cuándo son los veranos?
locations,En dónde está subdirección academica
financial aid,ofrecen becas para irme al extranjero a estudiar 
social service,¿Qué requiero para tramitar el servicio social?
about,¿cuándo se inauguró la fime?
about,Cuántos departamentos tiene FIME?
egress,¿Cuales son las opciones de titulación? 
safety,¿Cómo puedo obtener un botón de pánico?
financial aid,¿Cómo puedo aplicar para una beca en la universidad?
enrollment,¿Como puedo adelantar materias?
costs,¿Hay algún descuento por realizar el pago anticipado?
admission,¿Qué papelería necesito para inscribirme?
enrollment,¿Que materias puedo revalidar viniendo de otra universidad?
admission,Qué opciones tengo si no puedo pagar la inscripción?
enrollment,Cómo puedo hacer el horario
activities,¿Hay alguna competencia deportiva en la que pueda participar como estudiante de la universidad?
costs,Cuál es el proceso para realizar el pago de reinscripción?
costs,Costos
research,¿Cuáles son los requisitos para publicar un artículo en una revista científica?
admission,¿Hasta cuándo es la fecha límite para el pago de inscripción?
schedules,¿Cuáles son los horarios de atención de escolar?
social service,cuáles son los requisitos para meter servicio social
egress,¿Cómo puedo saber si cumplo con los requisitos para egresar?
safety,¿Cómo puedo reportar un robo o pérdida de pertenencias en el campus?
activities,¿La universidad ofrece actividades extracurriculares para estudiantes de intercambio?
postgrad,¿Cuáles son las diferentes maestrías que ofrecen? 
about,Información de FIME
majors,qué carreras ofrecen
activities,¿cómo puedo aprender un nuevo idioma en la facultad?
enrollment,como inscribo veranos
enrollment,¿Cómo funcionan las oportunidades?
safety,¿Existen servicios de transporte seguro para los estudiantes en la noche?
egress,¿Cuáles son las opciones de titulación disponibles para los estudiantes que no cumplen con los requisitos para egresar?
procedures,¿Cómo puedo tramitar una constancia de estudios?
internship,¿Qué tipos de prácticas realizan?
activities,¿Qué actividades extracurriculares tienen?
internship,¿Qué necesito cumplir para ser aceptado en prácticas profesionales?
egress,Como titularme?
majors,cuáles son los plan de estudios
internship,¿Cuándo es necesario hacer las prácticas profesionales?
social service,¿Cuántos créditos ocupo para realizar mi servicio social?
safety,¿Cuáles son las medidas de seguridad en el campus?
exchange,¿Cómo puedo obtener información sobre las universidades de destino para el intercambio académico?
majors,¿Con cuáles carreras cuentan? 
exchange,¿Cuáles son los requisitos para hacer un intercambio académico en otro país?
schedules,Cómo puedo contactar a escolar
internship,¿Qué documentos se requieren para tramitar las prácticas curriculares?
activities,Actividades extracurriculares
egress,¿Qué documentación piden para titularse?
activities,¿Cómo puedo proponer una nueva actividad extracurricular en la universidad?
enrollment,¿Cuántos créditos se ven por semestre?
internship,¿Qué tipo de prácticas profesionales ofrecen en la universidad?
egress,¿A qué departamento debo acudir para trámite de titulación?
activities,¿Qué opciones existen para estudiar idiomas en la UANL?
postgrad,¿Qué diferencia hay entre una maestría y un doctorado?
costs,Cuánto cuesta el semestre?
majors,¿Cuáles son las unidades de aprendizaje? 
research,¿Hay oportunidades para hacer investigación durante la licenciatura?
financial aid,¿Qué tipos de becas ofrece la universidad?
procedures,¿Qué trámites puedo realizar?
safety,Qué hago si sufro de acoso
enrollment,Qué hago si reprobé una materia?
postgrad,¿Qué opciones de titulación hay para los estudiantes de posgrado?
activities,Qué clubes hay en la facultad
majors,¿Que opciones de materias optativas puedo llevar en el semestre?
enrollment,¿Cuántos son el máximo de créditos que puedo meter por semestre?
postgrad,¿Qué tipos de becas existen para los estudiantes de posgrado?
about,¿quién es el actual rector de la UANL?
social service,¿Qué pasos debo seguir para registrarme en el servicio social?
calendar,Dónde puedo ver el calendario del semestre
enrollment,¿Qué hacer en caso de que no pueda inscribir todas mis materias?
safety,Cómo puedo denunciar acoso
costs,¿Qué sucede si no realizo el pago a tiempo?
exchange,¿Cómo afectará el intercambio académico a mi plan de estudios?
safety,¿Qué debo hacer en caso de una emergencia médica en el campus?
enrollment,Información sobre créditos 
enrollment,Qué pasa si dejo segundas?
admission,Quiero inscribirme a fime
egress,¿Qué se necesita para egresar?
enrollment,como puedo hacer mi horario
enrollment,¿Cómo puedo inscribir materias?
locations,Dónde puedo pagar?
activities,¿Como puedo inscribirme a algún deporte? 
locations,Dónde está el departamento de escolar
exchange,¿Como puedo irme a hacer mi servicio social fuera?
enrollment,Cuál es el mínimo de créditos
financial aid,¿Dónde puedo encontrar información sobre becas en la universidad?
exchange,¿Cuánto tiempo dura el intercambio académico?
internship,¿Qué trámites y documentos necesito presentar para iniciar mis prácticas profesionales?
enrollment,¿Qué pasa si dejo una materia?
financial aid,¿COMO SE CONSIGUE UNA BECA?
internship,En qué momento de mi carrera debo realizar las prácticas profesionales?
activities,¿Donde puedo realizar una inscripción a un curso?
admission,Tienen exámen de admisión en línea?
internship,Cuales son los tramites y documentos necesarios para iniciar mis practicas profesionales?
admission,¿Cuál es el proceso de admisión para la facultad?
admission,Requisitos de ingreso
internship,¿Cuándo es la plática para las practicas profesionales?
egress,¿Qué opciones tengo si no cumplo con todos los requisitos para egresar?
admission,Qué requiero para ser aceptado en la admisión?
exchange,¿Cómo puedo irme de intercambio?
majors,¿Cuál es el plan de estudios?
about,¿hay gatos en FIME?
calendar,Cuándo son los examenes de regularización
admission,¿Cual es la fecha limite para hacer el pago de inscripcion?
costs,Cual es el costo del semestre?
schedules,En qué horarios se encuentran disponibles
costs,¿Cuál es el proceso para solicitar un reembolso de un pago realizado en exceso?
locations,¿Dónde está la biblioteca de la universidad?
exchange,¿Es posible hacer un intercambio académico en una universidad privada?
majors,¿Cuáles son los planes de estudio?
egress,¿Cuántos créditos necesito para graduarme?
costs,¿Que tipos de pago aceptan en ventanilla de tesoreria?
schedules,¿Cuáles son los horarios de los diferentes departamentos dentro de mi facultad
admission,Qué filtros hay en el proceso de admisión?
majors,cuáles son los diversos planes de estudio que existen.
safety,¿Dónde puedo reportar un incidente de seguridad en el campus?
social service,¿En dónde puedo hacer el servicio social? 
egress,que oportunidades laborales tengo
enrollment,¿Cuántos créditos tiene el décimo semestre?
exchange,Cuales son los requisitos para un intercambio?
calendar,¿Cuándo son los examenes de medio curso?
financial aid,¿Qué opciones de becas hay para estudiantes de intercambio?
internship,¿Qué requiero para tramitar las prácticas curriculares?
schedules,¿Cuál es el horario de caja?
admission,Hay algun examen de idiomas para la admisión?
calendar,¿Cuándo son los examenes extraordinarios?
safety,¿Cómo puedo acceder a servicios de salud mental en la universidad?
admission,Cuántas veces al año se realizan los examenes de admisión?
postgrad,¿Hay posgrados que se imparten en inglés?
financial aid,¿Hay becas disponibles para estudiar en el extranjero?
majors,información sobre carreras
egress,Me gustaría saber si es posible titularse habiendo entrado en semestre irregular
locations,cómo puedo encontrar el polideportivo?
costs,¿Cual es la fecha limite para hacer el pago de extraordinarios?
schedules,¿Cuáles son los horarios de las oficinas administrativas?
costs,¿cuáles son los costos de la carrera?
research,estancia en la investigación
egress,¿Es necesario pagar alguna tarifa para realizar el trámite de egreso?
enrollment,Cual es mi horario?
financial aid,Becas 
costs,Cuánto cuesta el ingreso a la uanl
majors,¿Cuántos semestres tiene la carrera? 
financial aid,¿Cuales son los requisitos para la beca de promedio?
locations,Cómo puedo llegar al edificio 7
egress,¿cuántos créditos necesito para egresar?
costs,¿aceptan tarjeta?
financial aid,¿Cómo puedo obtener financiamiento para mi proyecto de investigación?
egress,¿Puedo realizar el trámite de egreso si tengo materias pendientes?
postgrad,¿Qué requisitos se necesitan para inscribirse en un programa de maestría?
activities,Deportes en fime
activities,dime algunos grupos estudiantiles
enrollment,Cuántos creditos puedo inscribir por semestre?
admission,¿Cuáles son los puntos necesarios para pasar el examen de admisión?
calendar,Cuándo terminan las clases?
procedures,¿Se puede solicitar una prórroga de estudios?
majors,¿Que planes educativos ofrece la facultad? 
schedules,¿Cuales son los horarios de atencion de tesoreria?
calendar,¿Cuándo inicia el proximo semestre?
enrollment,¿Cuántos créditos puedo llevar en octavo semestre?
research,¿Cuáles son las áreas de investigación en la facultad?
activities,¿Cuál es el horario de actividades extracurriculares en la universidad?
costs,¿Puedo realizar el pago en línea?
majors,¿Que materias me tapa si llego a dejar una materia?
procedures,¿Que costo tiene una reposición de credencial?
schedules,¿Cual es el horario de atención en el departamento de escolar?
costs,¿Cuáles son las fechas límite para realizar el pago de colegiaturas?
about,Información de la UANL
schedules,¿Cuáles son los horarios de escolar? 
admission,¿Se puede solicitar una prórroga de pago de inscripción?
exchange,¿Cómo puedo solicitar una beca para el intercambio académico?
calendar,Cuándo hay recesos académicos?
calendar,Cuándo es el último día de clases?
egress,¿Qué opciones de titulación están disponibles?
admission,Cuales son los requisitos de admision?
costs,¿Aceptan pago con tarjeta? 
calendar,¿Cuándo son los examenes ordinarios?
costs,cuál es la mensualidad
safety,¿Cómo reportar una situación de acoso o violencia?
postgrad,¿Cuánto tiempo dura el programa de maestría?
majors,¿Cuales materias llevaré el siguiente semestre?
schedules,¿En qué horario de atención se encuentra la oficina de servicios financieros?    
enrollment,cómo meter materias
procedures,¿Cómo puedo tramitar un Kardex?
majors,¿Cuáles son las red de materias de las carreras?
calendar,¿Qué fechas se permite el cambio de optativa?
enrollment,que se hace cuando se reprueba una materia?
financial aid,¿Cuáles son los criterios para obtener una beca de promedio?
majors,¿cuántos semestres son en mi carrera?
majors,¿Tiempo estimado en semestres para la culminación de la carrera ? 
research,¿Qué recursos ofrece la facultad para la investigación?
locations,¿Cómo puedo saber en qué edificio se encuentra mi clase?
costs,¿Cuáles son los medios de pago aceptados para las colegiaturas?
admission,¿Cuáles son los requisitos de admisión?
egress,¿Que se necesita para llevar a cabo el trámite para titulación?
admission,Cuándo es el proceso de admisión?
financial aid,¿Hay becas en la universidad?
activities,¿Qué tipos de clubes existen en la universidad?
activities,que actividades extracurriculares hay?
social service,¿Cómo liberar el servicio social? 
activities,¿Qué requisitos debo cumplir para unirme a un equipo deportivo?
enrollment,Cuál es el máximo de créditos?
activities,¿Cuáles son los equipos deportivos que tiene la universidad?
enrollment,Cuántas materias puedo inscribir por semestre?
locations,¿Dónde está la cafetería de fime?
majors,¿Que carreras ofrece?
social service,Cuantas horas necesito para liberar mi servicio social?
research,¿Cómo puedo pertenecer a un equipo de investigación?
majors,Cuántos semestres son en la carrera de ITS?
egress,Requisitos de egreso
financial aid,¿Cuáles son los pasos para solicitar una beca?
locations,Dónde es el departamento de escolar?
postgrad,¿Qué programas de intercambio hay disponibles para los estudiantes de posgrado?
postgrad,¿cuáles son los posgrados que oferta la facultad?
procedures,¿Dónde puedo solicitar una copia de mi certificado de estudios?
social service,¿Que se necesita para llevar a cabo el trámite para realizar servicio social?
postgrad,¿Qué requisitos son necesarios para obtener un doctorado en la facultad?
activities,¿Cómo puedo unirme a un grupo estudiantil en la facultad?
calendar,Dónde puedo ver el calendario
activities,¿Cuales son los grupos de actividades dentro de la facultad? 
majors,¿Cuantos años dura una carrera?
locations,¿Dónde es tesorería?
about,¿cuándo se creó la fime?
research,¿Hay algún programa de intercambio para investigadores?
costs,¿Cuánto vale el semestre?
admission,costos de ingreso
egress,¿Cuál es el costo del título?
enrollment,inscripción de horario
research,¿Cuentan con equipos de investigación?
calendar,¿Cuál es el calendario del semestre?
activities,¿Cómo meto horario en el gimnasio?
enrollment,Puedo cambiar una materia ya inscrita
research,¿Se pueden hacer investigaciones en colaboración con otras instituciones?
calendar,¿Cuándo son los examenes?
activities,dónde puedo practicar voleibol?
procedures,¿Qué Trámites se pueden realizar?
enrollment,cuántos créditos
internship,¿Dónde puedo encontrar información sobre el departamento de prácticas profesionales?
enrollment,Cuántas oportunidades tengo por materia?
procedures,¿Donde puedo descargar un Kardex?
locations,¿Dónde está ubicada la biblioteca de la facultad?
procedures,¿Con que número me podría comunicar para proceder un trámite?
activities,¿Cuál es el proceso para crear un nuevo grupo estudiantil?
admission,Cuánto cuesta ingresar a la facultad?
calendar,Cuándo son las fechas de bajas
locations,¿Donde está el edificio 9?
exchange,¿Puedo hacer un intercambio académico en una universidad de otro estado?
exchange,¿Qué documentos necesito para solicitar el intercambio académico?
procedures,¿Se puede tramitar una baja temporal?
enrollment,Créditos por semestre
schedules,¿Cuál es el horario de las oficinas de administración?
activities,¿Imparten algún tipo de cursos técnicos en la facultad? 
social service,¿cuáles son los requisitos para poder realizar el servicio social?
internship,¿Cuándo inician las prácticas profesionales? 
exchange,¿Cómo puedo irme de intercambio en maestría?
enrollment,Como hacer mi horario
about,que es fime?
activities,¿Qué beneficios obtengo al entrar a algún deporte de la facultad?
activities,¿Qué beneficios puedo obtener al unirme a un grupo estudiantil?
postgrad,¿Que requiero para hacer una maestría? 
postgrad,Planes de postgrado
internship,¿Qué debo hacer para iniciar el proceso de prácticas profesionales?
exchange,¿Cuáles son los requisitos para irme de intercambio? 
research,¿Cuál es el proceso para presentar una propuesta de investigación en la facultad?
egress,¿Dónde puedo obtener información sobre los requisitos para egresar?
safety,¿Qué medidas se están tomando para prevenir el COVID-19 en el campus?
social service,Cuales son los tramites y documentos necesarios para iniciar mi servicio social?
financial aid,¿Donde se encuentra el departamento de becas?
procedures,¿Dónde puedo realizar el trámite de kardex?
safety,¿Cuáles son los protocolos de seguridad en los laboratorios de la facultad?
activities,¿Cómo puedo participar en un evento cultural en la universidad?
postgrad,¿Cómo puedo solicitar una beca para estudiar un posgrado en la facultad?
costs,¿Cuáles son las opciones de financiamiento disponibles?
enrollment,¿Cómo puedo dar de baja una materia?
majors,¿Cuales optativas puedo llevar en el semestre? 
financial aid,¿Que becas ofrecen?
egress,¿CUANTOS AÑOS ES EL MINIMO PARA GRADUARSE?
majors,¿Cuál es la duración de las carreras que ofrece la facultad?
schedules,horarios de la facultad
financial aid,¿Puedo solicitar una beca para mis estudios en la universidad?
egress,¿Cuánto tiempo tarda el proceso de egreso?
exchange,¿Qué idiomas son necesarios para hacer un intercambio académico?
activities,que actividades ofrecen
calendar,¿Cuándo inicia el semestre?
research,¿Existen convenios con otras universidades para realizar investigación conjunta?
locations,¿Dónde se encuentra el laboratorio de química?
activities,¿Que actividades extracurriculares ofrece la facultad?
schedules,¿Cuáles son los números oficiales de atención a los distintos departamentos ?
admission,Requisitos para entrar a la facultad 
costs,¿Cuáles son los precios del semestre
egress,¿Cuáles son los pasos para realizar el trámite de egreso?
research,cuánto pagan en investigación
about,Que significa FIME?
schedules,¿horarios de atención?
internship,¿Cuándo empiezan las prácticas profesionales en la universidad?
activities,¿Cuáles son las actividades culturales que ofrece la universidad?
costs,¿Dónde puedo realizar el pago de mi colegiatura?
internship,¿Que se necesita para llevar a cabo el trámite para prácticas profesionales?
activities,¿Cómo puedo unirme a un equipo deportivo?
schedules,¿Cuáles son los horarios de atención del departamento de escolar?
admission,¿Requisitos para la admisión?
locations,Cómo puedo llegar a subdirección academica
exchange,¿Cuáles son los requisitos Para un intercambio? 
calendar,¿Cuándo inician los laboratorios?
